City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
349,Santiago Del Estero,AR,overcast clouds,71.8,-27.7951,-64.2615,Apartamentos Castelli 90
351,Coronel Vivida,BR,overcast clouds,69.67,-25.9797,-52.5678,Stedile Palace Hotel
356,Waddan,LY,overcast clouds,66.96,29.1614,16.139,محل الشريف محمد العايب
357,Beoumi,CI,clear sky,74.34,7.6736,-5.5764,Hôtel le Goly
360,Le Port,RE,broken clouds,73.4,-20.9373,55.2919,KORBEY D'OR OUEST
361,Sechura,PE,scattered clouds,66.99,-5.5569,-80.8222,Hospedaje Costa Bella
363,Ancud,CL,clear sky,58.53,-41.8697,-73.8203,Hotel Arena Gruesa
368,Bredasdorp,ZA,overcast clouds,58.28,-34.5322,20.0403,Bredasdorp Country Manor
372,Bucerias,MX,clear sky,75.27,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
375,Arenapolis,BR,overcast clouds,74.89,-14.4503,-56.8461,Mato Grosso Hotel
379,Mier,MX,overcast clouds,70.68,26.4333,-99.15,Mier 09
380,San Carlos De Bariloche,AR,clear sky,62.35,-41.1456,-71.3082,Hotel Patagonia
387,Nchelenge,ZM,overcast clouds,71.28,-9.3451,28.734,KD Travellers Home
389,Inhambane,MZ,overcast clouds,71.49,-23.865,35.3833,Oceano
390,Wundanyi,KE,broken clouds,64.36,-3.4019,38.364000000000004,Taita Rocks Hotel
394,Prieska,ZA,overcast clouds,64.2,-29.6641,22.7474,Avenue GuestHouse
396,Camana,PE,overcast clouds,67.77,-16.6228,-72.7111,Hostal Morales
397,Laguna,US,clear sky,61.07,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
403,Sur,OM,clear sky,75.22,22.5667,59.5289,Sur Plaza Hotel
404,Marrakesh,MA,broken clouds,57.27,31.6315,-8.0083,Novotel Marrakech Hivernage
405,Jalor,IN,clear sky,64.69,25.35,72.6167,Hotel Mansarovar
406,Irati,BR,light rain,68.31,-25.4672,-50.6511,Projetos e Execuções Elétricas Thoms Ltda
407,Touba,CI,clear sky,73.31,8.2833,-7.6833,Hotel de L'Amitié Vraie
409,Iquique,CL,overcast clouds,63.45,-20.2208,-70.1431,Backpacker`s Hostel Iquique
414,Vila Velha,BR,scattered clouds,72.95,-20.3297,-40.2925,Quality Suites Vila Velha
419,San Quintin,MX,few clouds,64.06,30.4833,-115.95,Don Eddie's Sport Fishing Center
426,Bhinmal,IN,broken clouds,66.51,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
427,Tshikapa,CD,overcast clouds,71.65,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
433,Vredendal,ZA,overcast clouds,61.63,-31.6683,18.5012,Tharrakamma Guest House
435,Muyuka,CM,broken clouds,74.39,4.2898,9.4103,Muyuka Motor Park (El Paso)
438,Alta Floresta,BR,overcast clouds,72.88,-9.8756,-56.0861,Floresta Amazonica Hotel
442,Gambela,ET,scattered clouds,74.07,8.25,34.5833,Solomon Debebe Hotel
444,Big Spring,US,clear sky,66.65,32.2504,-101.4787,Hampton Inn & Suites Big Spring
445,Antalaha,MG,scattered clouds,71.04,-14.9003,50.2788,Hotel Vitasoa
448,Francisco Beltrao,BR,overcast clouds,72.55,-26.0811,-53.055,Cristal Palace Hotel
450,Los Andes,CL,clear sky,69.58,-32.8337,-70.5983,Hotel Los Andes
452,Chiautla,MX,overcast clouds,65.95,19.5333,-98.8833,Xcoco Inn
453,Jibuti,DJ,broken clouds,71.13,11.5,42.5,Orchid Main Camp Goubet
457,Itai,BR,scattered clouds,73.74,-23.4178,-49.0906,Hotel Triângulo
